N,c,atr_bin,atr_cat,atr_un,a,b,c.1,d,d_,e,f,f_,g_ln,h_ln,i,j,k_ln,l_ln,m_ln,task,label
6.538139824,14,2,4,0,1.2623,0.1024,0.7713,-1.0,1,1.0,-1.0,1,0.678084303,2.530023409,0.9912,2.3012,-2.18036746,2.171528512,2.96344675,0,1.587805612
7.13169851,28,2,0,0,1.5124,0.3503,0.8869,-1.0,1,1.0,-1.0,1,-0.83609419,0.977611582,0.9453,5.4853,-1.148222789,1.091969846,2.790727908,0,2.626044457
8.920121752,20,2,0,0,1.032,0.2178,0.55,-1.0,1,1.0,-1.0,1,-0.10402807,1.258858638,0.3256,4.6908,-3.53358657,5.079189716,5.072945309,0,2.697326238
9.903537551,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0,0.1505,0.2807,0,-0.867500568,1.482149847,4.5603,5.6411,0.273760617,1.243627792,1.190928941,0,4.349955304
7.890208213,16,2,8,0,1.0273,0.0825,0.7618,-1.0,1,1.0,-1.0,1,0.189131649,1.482649449,1.0,1.77,-0.444725822,0.44472582,0.566058106,0,2.353563338
9.680406499,7,2,0,0,1.0975,0.1146,0.6109,-1.0,1,1.0,-1.0,1,1.808485473,4.534102664,0.2893,2.7416,-3.005782609,1.765491542,3.996104168,0,2.306078982
7.079184395,180,3,0,0,1.5407,0.0456,0.8729,0.83,0,0.5252,1.0,0,0.939303886,3.386672403,1.4725,0.8072,-3.825845309,4.212806946,3.584283171,0,2.420101426
6.64509097,8,2,0,0,1.0377,0.1439,0.5507,-1.0,1,1.0,-1.0,1,0.05694728,1.762502288,0.9331,4.5301,-2.189256408,2.120013505,3.674966146,0,1.510501165
9.105090961,16,10,0,0,1.5673,0.2119,0.8929,0.8902,0,0.2031,0.4049,0,-0.155251285,1.634247591,3.3219,6.5452,-0.683394889,1.883931798,2.48184857,0,3.90019331
6.908754779,24,2,9,1,1.0369,0.0848,0.5044,-1.0,1,1.0,-1.0,1,0.529804382,2.053392697,0.8813,1.5031,-3.979231755,3.852874565,4.374242405,0,2.441390056
6.803505258,6,3,1,1,1.1231,0.1217,0.7176,0.1057,0,0.9787,1.0,0,0.007074914,1.6175648,1.3574,1.9786,-1.645583359,1.951154465,2.225393855,0,3.393837027
6.34738921,45,3,43,0,1.191,0.751,0.8842,0.3002,0,0.8966,1.0,0,0.640379115,-0.01349059,1.5749,0.8717,-3.307707039,3.761898816,3.127503238,0,0.0
9.105090961,40,10,0,0,1.9657,0.1093,0.9207,0.9056,0,0.172,0.3385,0,-1.713687934,1.071583616,3.3219,5.5903,-1.595042032,2.795578941,3.279104928,0,4.617977817
8.517393171,16,26,0,0,1.8795,0.2577,0.8896,0.8489,0,0.168,0.321,0,-0.562469857,1.263702909,4.6996,3.094,-0.656044093,2.203521491,1.601932461,0,3.975786226
6.908754779,57,2,0,0,1.0638,0.1216,0.5286,-1.0,1,1.0,-1.0,1,0.111541375,1.913062229,0.3879,3.83,-3.167707538,2.220699834,4.499519314,0,0.98394938
7.601402335,36,6,0,0,1.297,0.5977,0.9366,0.9332,0,0.3586,0.7146,0,-0.312521362,1.428802933,2.4734,5.5759,-0.057311367,0.962905091,1.590213747,0,2.365935408
7.74543561,11,7,0,0,4.0014,0.1425,0.976,0.9623,0,0.3098,0.611,0,1.084513364,3.197909561,2.8072,3.0787,-0.404665428,1.436852973,1.284914388,0,0.248421358
9.581972892,9,7,0,0,1.6067,0.3558,0.9668,0.6968,0,0.6252,0.9499,0,1.49000101,5.077114431,0.9653,3.4271,-1.09422194,1.058905596,2.223137091,0,3.646258968
7.8559322,56,91,0,0,2.2442,0.217010526,0.9165,0.6818,0,0.5575,0.866,0,1.904433178,4.684870989,4.8787,0.3672,-1.706499625,3.291378416,0.022876819,0,1.141033005
7.313220387,14,2,0,0,1.1316,0.3676,0.7792,-1.0,1,1.0,-1.0,1,-0.433401727,1.466075496,0.9998,3.8755,-1.255266099,1.25506608,2.533557566,0,1.18967102
6.741700695,18,4,0,0,1.5392,0.4828,0.842,0.8189,0,0.4696,0.9139,0,-0.188500608,1.644805056,1.9979,4.2472,-1.039023497,1.731120126,2.398306306,0,2.556684528
5.602118821,13,2,5,1,1.0612,0.1236,0.7384,-1.0,1,1.0,-1.0,1,-0.044997366,1.294562771,0.9902,1.6386,-2.434974281,2.425125948,2.873874168,0,1.852854569
9.903537551,16,24,0,0,1.3218,0.1885,0.9884,0.9191,0,0.1505,0.2807,0,-0.867500568,1.482149847,4.5603,5.6411,0.273760617,1.243627792,1.190928941,1,3.836760521
9.680406499,7,2,0,0,1.0975,0.1146,0.6109,-1.0,1,1.0,-1.0,1,1.808485473,4.534102664,0.2893,2.7416,-3.005782609,1.765491542,3.996104168,1,1.708015476
7.13169851,28,2,0,0,1.5124,0.3503,0.8869,-1.0,1,1.0,-1.0,1,-0.83609419,0.977611582,0.9453,5.4853,-1.148222789,1.091969846,2.790727908,1,2.626044457
8.920121752,20,2,0,0,1.032,0.2178,0.55,-1.0,1,1.0,-1.0,1,-0.10402807,1.258858638,0.3256,4.6908,-3.53358657,5.079189716,5.072945309,1,1.351444084
7.890208213,16,2,8,0,1.0273,0.0825,0.7618,-1.0,1,1.0,-1.0,1,0.189131649,1.482649449,1.0,1.77,-0.444725822,0.44472582,0.566058106,1,0.0
6.538139824,14,2,4,0,1.2623,0.1024,0.7713,-1.0,1,1.0,-1.0,1,0.678084303,2.530023409,0.9912,2.3012,-2.18036746,2.171528512,2.96344675,1,0.968883182
6.64509097,8,2,0,0,1.0377,0.1439,0.5507,-1.0,1,1.0,-1.0,1,0.05694728,1.762502288,0.9331,4.5301,-2.189256408,2.120013505,3.674966146,1,1.434131691
7.74543561,11,7,0,0,4.0014,0.1425,0.976,0.9623,0,0.3098,0.611,0,1.084513364,3.197909561,2.8072,3.0787,-0.404665428,1.436852973,1.284914388,1,1.653646167
6.741700695,18,4,0,0,1.5392,0.4828,0.842,0.8189,0,0.4696,0.9139,0,-0.188500608,1.644805056,1.9979,4.2472,-1.039023497,1.731120126,2.398306306,1,2.569247798
7.313220387,14,2,0,0,1.1316,0.3676,0.7792,-1.0,1,1.0,-1.0,1,-0.433401727,1.466075496,0.9998,3.8755,-1.255266099,1.25506608,2.533557566,1,0.484276289
7.8559322,56,91,0,0,2.2442,0.217010526,0.9165,0.6818,0,0.5575,0.866,0,1.904433178,4.684870989,4.8787,0.3672,-1.706499625,3.291378416,0.022876819,1,0.634988266
9.581972892,9,7,0,0,1.6067,0.3558,0.9668,0.6968,0,0.6252,0.9499,0,1.49000101,5.077114431,0.9653,3.4271,-1.09422194,1.058905596,2.223137091,1,2.364056415
7.601402335,36,6,0,0,1.297,0.5977,0.9366,0.9332,0,0.3586,0.7146,0,-0.312521362,1.428802933,2.4734,5.5759,-0.057311367,0.962905091,1.590213747,1,2.046789209
6.908754779,57,2,0,0,1.0638,0.1216,0.5286,-1.0,1,1.0,-1.0,1,0.111541375,1.913062229,0.3879,3.83,-3.167707538,2.220699834,4.499519314,1,0.246078523
7.079184395,180,3,0,0,1.5407,0.0456,0.8729,0.83,0,0.5252,1.0,0,0.939303886,3.386672403,1.4725,0.8072,-3.825845309,4.212806946,3.584283171,1,1.880685678
9.105090961,40,10,0,0,1.9657,0.1093,0.9207,0.9056,0,0.172,0.3385,0,-1.713687934,1.071583616,3.3219,5.5903,-1.595042032,2.795578941,3.279104928,1,4.631276433
5.602118821,13,2,5,1,1.0612,0.1236,0.7384,-1.0,1,1.0,-1.0,1,-0.044997366,1.294562771,0.9902,1.6386,-2.434974281,2.425125948,2.873874168,1,1.552020642
6.803505258,6,3,1,1,1.1231,0.1217,0.7176,0.1057,0,0.9787,1.0,0,0.007074914,1.6175648,1.3574,1.9786,-1.645583359,1.951154465,2.225393855,1,1.885856793
8.517393171,16,26,0,0,1.8795,0.2577,0.8896,0.8489,0,0.168,0.321,0,-0.562469857,1.263702909,4.6996,3.094,-0.656044093,2.203521491,1.601932461,1,2.999126507
6.34738921,45,3,43,0,1.191,0.751,0.8842,0.3002,0,0.8966,1.0,0,0.640379115,-0.01349059,1.5749,0.8717,-3.307707039,3.761898816,3.127503238,1,2.410452464
9.105090961,16,10,0,0,1.5673,0.2119,0.8929,0.8902,0,0.2031,0.4049,0,-0.155251285,1.634247591,3.3219,6.5452,-0.683394889,1.883931798,2.48184857,1,3.891064911
6.908754779,24,2,9,1,1.0369,0.0848,0.5044,-1.0,1,1.0,-1.0,1,0.529804382,2.053392697,0.8813,1.5031,-3.979231755,3.852874565,4.374242405,1,2.068254196
